X	SMILES	REFIDX_R	REFIDX_G	REFIDX_B	Molecular.Weight	Molecular.Weight.Except.Hydrogens	Maximum.Partial.Charge	Minimum.Partial.Charge	Number.of.Labute.Accessible.Surface.Area	Number.of.Topological.Polar.Surface.Area	Number.of.Aromatic.Carbocycles	Number.of.Aromatic.Heterocycles	Number.of.H.bond.Acceptor	Number.of.Lipinski.H.bond.Acceptor	Number.of.Heteroatoms
0	BrC1=CC=C2C(=C1)C1=CC(Br)=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=C(Br)C=C4)C4=CC(Br)=CC=C45)C=CC3=C2)S1	2.1072	2.6202	3.371	905.764489	892.204	0.124173233	-0.235356944	315.5074562	25.78	8	2	0	0	8
1	BrC1=CC=C2C(=C1)C1=CC(Br)=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC=CC=C45)C=CC3=C2)S1	2.105	2.6109	3.3427	749.9434648	732.396	0.124173233	-0.235356954	287.772361	25.78	8	2	0	0	6
2	BrC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=CC=C(Br)C=C4C4=C5C=CC(Br)=C4)C=CC3=C2)S1	2.0985	2.5979	3.3137	827.8539769	812.3	0.124173233	-0.235356944	301.6399086	25.78	8	2	0	0	7
3	BrC1=CC=C2C(=C1)C1=CC(Br)=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=C(I)C=C4)C4=CC(I)=CC=C45)C=CC3=C2)S1	2.0884	2.5949	3.3305	1001.736761	986.204	0.124173233	-0.235356944	326.2960372	25.78	8	2	0	0	8
4	ClC1=CC=C2C(=C1)C1=CC(Cl)=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=C(Br)C=C4)C4=CC(Br)=CC=C45)C=CC3=C2)S1	2.0929	2.5942	3.3183	817.8655201	803.302	0.124173233	-0.235356944	308.3788934	25.78	8	2	0	0	8
5	BrC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC(I)=CC=C45)C=CC3=C2)S1	2.1034	2.5922	3.259	797.9296007	779.396	0.124173233	-0.235356944	293.1666515	25.78	8	2	0	0	6
6	ClC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=CC=C(Br)C=C4C4=C5C=CC(Br)=C4)C=CC3=C2)S1	2.0941	2.5895	3.2948	783.9044925	767.849	0.124173233	-0.235356944	298.0756272	25.78	8	2	0	0	7
7	ClC1=CC2=C(C=C1)C1=C(SC(C3=CC4=CC=C(C5=NC6=C(S5)C5=CC=CC=C5C5=CC(Br)=CC=C56)C=C4C=C3)=N1)C1=CC=C(Cl)C=C21	2.0875	2.5783	3.2751	739.9550081	723.398	0.124173233	-0.235356944	294.5113458	25.78	8	2	0	0	7
8	BrC1=CC2=C(C=C1)C1=C(SC(C3=CC4=CC=C(C5=NC6=C(S5)C5=CC=CC=C5C5=CC(I)=CC=C56)C=C4C=C3)=N1)C1=CC=C(Br)C=C21	2.0857	2.5776	3.2739	875.8401128	859.3	0.124173233	-0.235356944	307.0341991	25.78	8	2	0	0	7
9	ClC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=CC=C(Cl)C=C4C4=C5C=CC(Cl)=C4)C=CC3=C2)S1	2.0874	2.5775	3.2703	696.0055236	678.947	0.124173233	-0.23535694	290.9470644	25.78	8	2	0	0	7
10	ClC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC(Br)=CC=C45)C=CC3=C2)S1	2.0923	2.5748	3.2406	705.9939804	687.945	0.124173233	-0.235356944	284.2080796	25.78	8	2	0	0	6
11	ClC1=CC=C2C(=C1)C1=CC(Cl)=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC=CC=C45)C=CC3=C2)S1	2.0854	2.574	3.2662	662.044496	643.494	0.124173233	-0.235356954	280.6437982	25.78	8	2	0	0	6
12	C1=CC=C2C(=C1)C1=C(C=CC=C1)C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=CC=CC=C4C4=C5C=CC=C4)C=CC3=C2)S1	2.0883	2.5692	3.2354	594.1224407	572.588	0.124173233	-0.235356954	260.0372658	25.78	8	2	0	0	4
13	BrC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=CC=CC=C4C4=C5C=CC=C4)C=CC3=C2)S1	2.0854	2.5663	3.2364	672.0329528	652.492	0.124173233	-0.235356954	273.9048134	25.78	8	2	0	0	5
14	IC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=CC=CC=C4C4=C5C=CC=C4)C=CC3=C2)S1	2.0815	2.5627	3.2306	720.0190887	699.492	0.124173233	-0.235356954	279.2991039	25.78	8	2	0	0	5
15	ClC1=CC=C2C(=C1)C1=CC(Cl)=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=C(I)C=C4)C4=CC(I)=CC=C45)C=CC3=C2)S1	2.069	2.5595	3.2592	913.8377919	897.302	0.124173233	-0.235356944	319.1674745	25.78	8	2	0	0	8
16	BrC1=CC=C2C(=C1)C1=CC(Br)=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(O4)C4=C(C=CC=C4)C4=CC=CC=C45)C=CC3=C2)S1	2.08	2.5592	3.2035	733.9663085	716.328	0.226884234	-0.435408783	282.926327	38.92	8	2	0	0	6
17	ClC1=CC2=C(C=C1)C1=C(SC(C3=CC4=CC=C(C5=NC6=C(S5)C5=CC=CC=C5C5=CC(I)=CC=C56)C=C4C=C3)=N1)C1=CC=C(Cl)C=C21	2.0749	2.5587	3.2381	787.941144	770.398	0.124173233	-0.235356944	299.9056363	25.78	8	2	0	0	7
18	BrC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC(Br)=CC=C45)C=CC3=C2)S1	2.0846	2.5556	3.1912	749.9434648	732.396	0.124173233	-0.235356944	287.772361	25.78	8	2	0	0	6
19	ClC1=CC=C2C(=C1)C1=CC(Cl)=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=C(Cl)C=C4)C4=CC(Cl)=CC=C45)C=CC3=C2)S1	2.0692	2.5504	3.2287	729.9665513	714.4	0.124173233	-0.23535694	301.2503307	25.78	8	2	0	0	8
20	BrC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=CC=C(I)C=C4C4=C5C=CC(I)=C4)C=CC3=C2)S1	2.0667	2.5481	3.2229	923.8262487	906.3	0.124173233	-0.235356944	312.4284896	25.78	8	2	0	0	7
21	ClC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=CC=CC=C4C4=C5C=CC=C4)C=CC3=C2)S1	2.0739	2.5442	3.1897	628.0834684	608.041	0.124173233	-0.235356954	270.340532	25.78	8	2	0	0	5
22	ClC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC(I)=CC=C45)C=CC3=C2)S1	2.0733	2.5412	3.1708	753.9801163	734.945	0.124173233	-0.235356944	289.6023701	25.78	8	2	0	0	6
23	IC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=CC=C(I)C=C4C4=C5C=CC(I)=C4)C=CC3=C2)S1	2.0606	2.5403	3.2091	971.8123846	953.3	0.124173233	-0.235356944	317.8227801	25.78	8	2	0	0	7
24	IC1=CC=C2C(=C1)C1=CC(I)=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC=CC=C45)C=CC3=C2)S1	2.0578	2.5337	3.2001	845.9157366	826.396	0.124173233	-0.235356954	298.560942	25.78	8	2	0	0	6
25	IC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC(I)=CC=C45)C=CC3=C2)S1	2.0695	2.5318	3.1401	845.9157366	826.396	0.124173233	-0.235356944	298.560942	25.78	8	2	0	0	6
26	IC1=CC=C2C(=C1)C1=CC(I)=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=C(I)C=C4)C4=CC(I)=CC=C45)C=CC3=C2)S1	2.0489	2.5305	3.2107	1097.709033	1080.204	0.124173233	-0.235356944	337.0846182	25.78	8	2	0	0	8
27	ClC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=CC=C(I)C=C4C4=C5C=CC(I)=C4)C=CC3=C2)S1	2.057	2.5303	3.1869	879.8767643	861.849	0.124173233	-0.235356944	308.8642082	25.78	8	2	0	0	7
28	BrC1=CC=C2N=C(C3=CC=C4C=C(C5=NC6=C(S5)C5=C(C=C(Br)C=C5)C5=CC(Br)=CC=C56)C=CC4=C3)SC2=C1	2.0766	2.5292	3.0874	727.8226768	716.212	0.124173233	-0.236038339	256.2765795	25.78	6	2	0	0	7
29	ClC1=CC=C2C(=C1)C1=C(C=CC(Cl)=C1)C1=C2N=C(C2=CC3=CC=C(C4=NC5=CC=C(Br)C=C5S4)C=C3C=C2)S1	2.0754	2.528	3.0856	639.9237079	627.31	0.124173233	-0.236038339	249.1480168	25.78	6	2	0	0	7
30	ClC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC(Cl)=CC=C45)C=CC3=C2)S1	2.0644	2.5262	3.1517	662.044496	643.494	0.124173233	-0.23535694	280.6437982	25.78	8	2	0	0	6
31	BrC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(O4)C4=CC=CC=C4C4=C5C=CC=C4)C=CC3=C2)S1	2.0677	2.5253	3.1147	656.0557964	636.424	0.226884234	-0.435408783	269.0587794	38.92	8	2	0	0	5
32	ClC1=CC=C2C(=C1)C1=CC(Cl)=CC=C1C1=C2N=C(C2=CC=C3C=C(C4=NC5=C(O4)C4=C(C=CC=C4)C4=CC=CC=C45)C=CC3=C2)S1	2.0601	2.5237	3.1363	646.0673396	627.426	0.226884234	-0.435408783	275.7977642	38.92	8	2	0	0	6
